date,Headline Count
2011-05-01,7
2011-05-08,20
2011-05-15,12
2011-05-22,15
2011-05-29,22
2011-06-05,15
2011-06-12,34
2011-06-19,21
2011-06-26,16
2011-07-03,25
2011-07-10,19
2011-07-17,25
2011-07-24,40
2011-07-31,46
2011-08-07,41
2011-08-14,48
2011-08-21,21
2011-08-28,32
2011-09-04,9
2011-09-11,17
2011-09-18,33
2011-09-25,18
2011-10-02,20
2011-10-09,21
2011-10-16,19
2011-10-23,16
2011-10-30,15
2011-11-06,5
2011-11-13,15
2011-11-20,20
2011-11-27,16
2011-12-04,21
2011-12-11,18
2011-12-18,21
2011-12-25,15
2012-01-01,2
2012-01-08,11
2012-01-15,11
2012-01-22,15
2012-01-29,14
2012-02-05,18
2012-02-12,26
2012-02-19,30
2012-02-26,11
2012-03-04,33
2012-03-11,18
2012-03-18,21
2012-03-25,30
2012-04-01,34
2012-04-08,15
2012-04-15,7
2012-04-22,22
2012-04-29,31
2012-05-06,10
2012-05-13,6
2012-05-20,13
2012-05-27,16
2012-06-03,23
2012-06-10,19
2012-06-17,24
2012-06-24,21
2012-07-01,17
2012-07-08,12
2012-07-15,28
2012-07-22,36
2012-07-29,16
2012-08-05,14
2012-08-12,24
2012-08-19,29
2012-08-26,42
2012-09-02,14
2012-09-09,13
2012-09-16,18
2012-09-23,51
2012-09-30,29
2012-10-07,32
2012-10-14,34
2012-10-21,24
2012-10-28,40
2012-11-04,24
2012-11-11,17
2012-11-18,33
2012-11-25,21
2012-12-02,27
2012-12-09,28
2012-12-16,24
2012-12-23,24
2012-12-30,25
2013-01-06,27
2013-01-13,16
2013-01-20,30
2013-01-27,17
2013-02-03,8
2013-02-10,25
2013-02-17,25
2013-02-24,26
2013-03-03,29
2013-03-10,42
2013-03-17,25
2013-03-24,28
2013-03-31,25
2013-04-07,27
2013-04-14,29
2013-04-21,27
2013-04-28,28
2013-05-05,31
2013-05-12,35
2013-05-19,18
2013-05-26,26
2013-06-02,16
2013-06-09,26
2013-06-16,22
2013-06-23,25
2013-06-30,34
2013-07-07,21
2013-07-14,31
2013-07-21,35
2013-07-28,30
2013-08-04,28
2013-08-11,37
2013-08-18,42
2013-08-25,34
2013-09-01,29
2013-09-08,54
2013-09-15,44
2013-09-22,57
2013-09-29,43
2013-10-06,9
2013-10-13,12
2013-10-20,6
2013-10-27,5
2013-11-03,7
2013-11-10,1
2013-11-17,12
2013-11-24,6
2013-12-01,6
2013-12-08,11
2013-12-15,11
2013-12-22,7
2013-12-29,7
2014-01-05,2
2014-01-12,8
2014-01-19,4
2014-01-26,7
2014-02-02,6
2014-02-09,15
2014-02-16,11
2014-02-23,7
2014-03-02,6
2014-03-09,9
2014-03-16,12
2014-03-23,10
2014-03-30,9
2014-04-06,16
2014-04-13,10
2014-04-20,13
2014-04-27,17
2014-05-04,11
2014-05-11,13
2014-05-18,28
2014-05-25,21
2014-06-01,11
2014-06-08,25
2014-06-15,8
2014-06-22,26
2014-06-29,19
2014-07-06,12
2014-07-13,13
2014-07-20,16
2014-07-27,15
2014-08-03,28
2014-08-10,31
2014-08-17,44
2014-08-24,35
2014-08-31,29
2014-09-07,16
2014-09-14,26
2014-09-21,18
2014-09-28,27
2014-10-05,32
2014-10-12,42
2014-10-19,35
2014-10-26,42
2014-11-02,33
2014-11-09,57
2014-11-16,33
2014-11-23,38
2014-11-30,39
2014-12-07,29
2014-12-14,35
2014-12-21,82
2014-12-28,36
2015-01-04,28
2015-01-11,59
2015-01-18,55
2015-01-25,44
2015-02-01,69
2015-02-08,77
2015-02-15,51
2015-02-22,48
2015-03-01,78
2015-03-08,52
2015-03-15,61
2015-03-22,52
2015-03-29,39
2015-04-05,79
2015-04-12,61
2015-04-19,76
2015-04-26,64
2015-05-03,88
2015-05-10,93
2015-05-17,83
2015-05-24,46
2015-05-31,49
2015-06-07,57
2015-06-14,64
2015-06-21,76
2015-06-28,77
2015-07-05,70
2015-07-12,43
2015-07-19,41
2015-07-26,34
2015-08-02,80
2015-08-09,84
2015-08-16,127
2015-08-23,96
2015-08-30,82
2015-09-06,69
2015-09-13,82
2015-09-20,91
2015-09-27,72
2015-10-04,75
2015-10-11,59
2015-10-18,65
2015-10-25,67
2015-11-01,100
2015-11-08,87
2015-11-15,108
2015-11-22,110
2015-11-29,72
2015-12-06,91
2015-12-13,79
2015-12-20,108
2015-12-27,48
2016-01-03,55
2016-01-10,75
2016-01-17,68
2016-01-24,55
2016-01-31,93
2016-02-07,108
2016-02-14,62
2016-02-21,55
2016-02-28,94
2016-03-06,88
2016-03-13,60
2016-03-20,82
2016-03-27,70
2016-04-03,76
2016-04-10,103
2016-04-17,62
2016-04-24,65
2016-05-01,81
2016-05-08,107
2016-05-15,73
2016-05-22,91
2016-05-29,105
2016-06-05,80
2016-06-12,70
2016-06-19,92
2016-06-26,102
2016-07-03,101
2016-07-10,63
2016-07-17,90
2016-07-24,73
2016-07-31,102
2016-08-07,91
2016-08-14,76
2016-08-21,116
2016-08-28,105
2016-09-04,68
2016-09-11,58
2016-09-18,79
2016-09-25,69
2016-10-02,75
2016-10-09,66
2016-10-16,60
2016-10-23,66
2016-10-30,88
2016-11-06,105
2016-11-13,129
2016-11-20,99
2016-11-27,54
2016-12-04,84
2016-12-11,88
2016-12-18,65
2016-12-25,72
2017-01-01,60
2017-01-08,52
2017-01-15,64
2017-01-22,75
2017-01-29,81
2017-02-05,81
2017-02-12,58
2017-02-19,82
2017-02-26,57
2017-03-05,82
2017-03-12,79
2017-03-19,59
2017-03-26,66
2017-04-02,63
2017-04-09,96
2017-04-16,76
2017-04-23,106
2017-04-30,82
2017-05-07,92
2017-05-14,93
2017-05-21,35
2017-05-28,56
2017-06-04,39
2017-06-11,85
2017-06-18,77
2017-06-25,57
2017-07-02,89
2017-07-09,63
2017-07-16,67
2017-07-23,71
2017-07-30,84
2017-08-06,94
2017-08-13,90
2017-08-20,58
2017-08-27,39
2017-09-03,68
2017-09-10,46
2017-09-17,50
2017-09-24,35
2017-10-01,71
2017-10-08,60
2017-10-15,43
2017-10-22,75
2017-10-29,98
2017-11-05,96
2017-11-12,77
2017-11-19,80
2017-11-26,50
2017-12-03,38
2017-12-10,47
2017-12-17,51
2017-12-24,79
2017-12-31,69
2018-01-07,53
2018-01-14,47
2018-01-21,37
2018-01-28,71
2018-02-04,63
2018-02-11,84
2018-02-18,54
2018-02-25,40
2018-03-04,59
2018-03-11,42
2018-03-18,83
2018-03-25,41
2018-04-01,47
2018-04-08,64
2018-04-15,52
2018-04-22,51
2018-04-29,58
2018-05-06,66
2018-05-13,77
2018-05-20,83
2018-05-27,40
2018-06-03,40
2018-06-10,54
2018-06-17,52
2018-06-24,43
2018-07-01,49
2018-07-08,44
2018-07-15,48
2018-07-22,67
2018-07-29,104
2018-08-05,123
2018-08-12,100
2018-08-19,106
2018-08-26,70
2018-09-02,66
2018-09-09,88
2018-09-16,143
2018-09-23,174
2018-09-30,235
2018-10-07,137
2018-10-14,418
2018-10-21,87
2018-10-28,189
2018-11-04,281
2018-11-11,154
2018-11-18,130
2018-11-25,254
2018-12-02,219
2018-12-09,76
2018-12-16,246
2018-12-23,322
2018-12-30,54
2019-01-06,74
2019-01-13,98
2019-01-20,89
2019-01-27,61
2019-02-03,94
2019-02-10,85
2019-02-17,130
2019-02-24,84
2019-03-03,86
2019-03-10,85
2019-03-17,68
2019-03-24,58
2019-03-31,62
2019-04-07,38
2019-04-14,83
2019-04-21,102
2019-04-28,120
2019-05-05,73
2019-05-12,140
2019-05-19,117
2019-05-26,83
2019-06-02,40
2019-06-09,75
2019-06-16,122
2019-06-23,81
2019-06-30,79
2019-07-07,55
2019-07-14,75
2019-07-21,102
2019-07-28,154
2019-08-04,206
2019-08-11,238
2019-08-18,179
2019-08-25,104
2019-09-01,107
2019-09-08,66
2019-09-15,122
2019-09-22,103
2019-09-29,117
2019-10-06,97
2019-10-13,107
2019-10-20,118
2019-10-27,196
2019-11-03,219
2019-11-10,295
2019-11-17,264
2019-11-24,156
2019-12-01,156
2019-12-08,155
2019-12-15,233
2019-12-22,309
2019-12-29,149
2020-01-05,63
2020-01-12,210
2020-01-19,272
2020-01-26,452
2020-02-02,446
2020-02-09,391
2020-02-16,514
2020-02-23,498
2020-03-01,954
2020-03-08,699
2020-03-15,1671
2020-03-22,1156
2020-03-29,910
2020-04-05,577
2020-04-12,622
2020-04-19,929
2020-04-26,1194
2020-05-03,1994
2020-05-10,2645
2020-05-17,2319
2020-05-24,1981
2020-05-31,1931
2020-06-07,3071
2020-06-14,2375
